Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Data products (ascii),Data products (csv)
HD21209A,23:17.2,-49:59:30.914,K3.5V,N/A,9.67,8.59,8.183,19.3,HD21209A_harps_all-data_v1.dat,HD21209A_harps_all-data_v1.csv
HD21209B,23:15.9,-49:59:38.742,K8Vk:,N/A,11.71,10.32,9.518,19.3,HD21209B_harps_all-data_v1.dat,HD21209B_harps_all-data_v1.csv
HD212231,23:14.5,-25:50:32.226,G2V,N/A,8.47,7.86,7.707,56.52,HD212231_harps_all-data_v1.dat,HD212231_harps_all-data_v1.csv
HD212291,23:09.2,+09:27:39.897,G5,N/A,8.6,nan,7.726,32.97,HD212291_harps_all-data_v1.dat,HD212291_harps_all-data_v1.csv
HD212301B,27:30.9,-77:43:04.521,M3,5000,nan,nan,nan,nan,HD212301B_harps_all-data_v1.dat,HD212301B_harps_all-data_v1.csv
HD212571,25:16.6,+01:22:38.634,B1III-IVe,9334.5,4.6,4.64,4.526,nan,HD212571_harps_all-data_v1.dat,HD212571_harps_all-data_v1.csv
HD212580,27:02.4,-62:31:28.558,K1Vk:,5138.5,9.66,8.78,8.545,35.37,HD212580_harps_all-data_v1.dat,HD212580_harps_all-data_v1.csv
HD212658,26:13.5,-19:11:18.339,K4.5Vk,4536,10.44,9.31,8.833,25.55,HD212658_harps_all-data_v1.dat,HD212658_harps_all-data_v1.csv
HD212708,27:24.7,-49:21:57.402,G6IV,N/A,8.21,7.48,7.301,37.16,HD212708_harps_all-data_v1.dat,HD212708_harps_all-data_v1.csv
HD212728,28:37.7,-67:29:20.620,A3/5V,7696,5.757,5.564,5.504,43.93,HD212728_harps_all-data_v1.dat,HD212728_harps_all-data_v1.csv
HD212918,28:48.0,-49:35:07.070,K2(V),N/A,10.59,9.71,9.462,50.02,HD212918_harps_all-data_v1.dat,HD212918_harps_all-data_v1.csv
HD212943,27:51.5,+04:41:44.391,K1-III-IV,N/A,5.86,4.8,4.419,47.61,HD212943_harps_all-data_v1.dat,HD212943_harps_all-data_v1.csv
HD213240,31:00.4,-49:25:59.767,G0/1V,5921,7.41,6.8,6.658,40.92,HD213240_harps_all-data_v1.dat,HD213240_harps_all-data_v1.csv
HD213366,32:40.6,-65:26:09.406,G3V,N/A,9.73,9.04,8.892,86.46,HD213366_harps_all-data_v1.dat,HD213366_harps_all-data_v1.csv
HD2134,24:26.6,-78:15:01.376,G3IV,5690,9.5,8.82,8.647,71.53,HD2134_harps_all-data_v1.dat,HD2134_harps_all-data_v1.csv
HD213575,32:34.1,-06:28:01.836,G5V,N/A,7.62,6.95,6.766,37.42,HD213575_harps_all-data_v1.dat,HD213575_harps_all-data_v1.csv
HD213637,33:12.3,-20:02:21.883,A(pEuSrCr),6414.2,10.058,9.582,9.513,211.47,HD213637_harps_all-data_v1.dat,HD213637_harps_all-data_v1.csv
HD214094,36:42.6,-43:28:15.506,F8V,N/A,7.29,6.76,6.616,53.24,HD214094_harps_all-data_v1.dat,HD214094_harps_all-data_v1.csv
HD21430,26:22.5,-27:19:02.928,K0III,5012.1,6.868,5.933,5.665,141.5,HD21430_harps_all-data_v1.dat,HD21430_harps_all-data_v1.csv
HD214385,38:11.0,-27:26:36.369,G8VFe-1.2,N/A,8.51,7.88,7.716,36.68,HD214385_harps_all-data_v1.dat,HD214385_harps_all-data_v1.csv
HD214853,41:26.1,-27:15:25.416,A4III,8133,7.95,7.79,7.78,209.93,HD214853_harps_all-data_v1.dat,HD214853_harps_all-data_v1.csv
HD214867,41:45.5,-39:27:41.918,G3V,5750.7,9.61,8.97,8.8,59.63,HD214867_harps_all-data_v1.dat,HD214867_harps_all-data_v1.csv
HD214910,41:45.8,-12:52:55.290,F6/7V,6103.6,9.99,9.51,9.351,113.34,HD214910_harps_all-data_v1.dat,HD214910_harps_all-data_v1.csv
HD214953,42:36.9,-47:12:38.924,F9.5V,N/A,6.67,6.06,5.853,23.83,HD214953_harps_all-data_v1.dat,HD214953_harps_all-data_v1.csv
HD215257,43:50.7,+03:53:12.629,F5V,N/A,7.93,nan,7.272,43.54,HD215257_harps_all-data_v1.dat,HD215257_harps_all-data_v1.csv
HD215497,46:36.8,-56:35:58.328,K3V,4993.9,9.92,8.95,8.686,40.59,HD215497_harps_all-data_v1.dat,HD215497_harps_all-data_v1.csv
HD215625,46:50.3,-20:47:26.021,G0V,6220,8.45,7.9,7.784,61.25,HD215625_harps_all-data_v1.dat,HD215625_harps_all-data_v1.csv
HD215641,47:09.3,-32:40:31.643,G8V,N/A,8.34,7.58,7.386,27.41,HD215641_harps_all-data_v1.dat,HD215641_harps_all-data_v1.csv
HD215789,48:33.3,-51:19:00.732,A2IVn,6607,3.556,3.466,3.391,41.48,HD215789_harps_all-data_v1.dat,HD215789_harps_all-data_v1.csv
HD215864,48:46.8,-36:53:26.440,K3V,4806,10.78,9.76,9.381,38.23,HD215864_harps_all-data_v1.dat,HD215864_harps_all-data_v1.csv
HD215906,50:05.1,-66:03:01.690,F6/7V,6234,8.23,7.76,7.616,57.97,HD215906_harps_all-data_v1.dat,HD215906_harps_all-data_v1.csv
HD2160,25:35.0,-18:48:56.839,F2/3V,6454,9.02,8.55,8.459,223.09,HD2160_harps_all-data_v1.dat,HD2160_harps_all-data_v1.csv
HD216435,53:37.9,-48:35:53.824,G0V,5928,6.66,6.04,5.872,33.01,HD216435_harps_all-data_v1.dat,HD216435_harps_all-data_v1.csv
HD216437,54:39.5,-70:04:25.356,G1VFe+0.3,5870,6.71,6.05,5.883,26.71,HD216437_harps_all-data_v1.dat,HD216437_harps_all-data_v1.csv
HD216627,54:39.0,-15:49:14.848,A3Vp,6750,3.33,3.28,3.156,34.73,HD216627_harps_all-data_v1.dat,HD216627_harps_all-data_v1.csv
HD216770,55:53.7,-26:39:31.548,G9VCN+1,N/A,8.92,8.1,7.916,36.7,HD216770_harps_all-data_v1.dat,HD216770_harps_all-data_v1.csv
HD21693,27:12.5,-58:19:25.248,G9IV-V,N/A,8.715,7.94,7.757,33.29,HD21693_harps_all-data_v1.dat,HD21693_harps_all-data_v1.csv
HD217065,58:06.3,-13:38:33.158,K6Vk,N/A,11.29,10,9.615,27.93,HD217065_harps_all-data_v1.dat,HD217065_harps_all-data_v1.csv
HD217343,00:19.3,-26:09:13.506,G5V,5740.3,8.12,7.48,7.325,31.78,HD217343_harps_all-data_v1.dat,HD217343_harps_all-data_v1.csv
HD217395,00:48.2,-39:53:41.837,G2V,5903.5,8.83,8.25,8.1,50.96,HD217395_harps_all-data_v1.dat,HD217395_harps_all-data_v1.csv
HD217522,01:46.8,-44:50:26.878,ApSrSi:,6750,7.99,7.52,7.457,102.93,HD217522_harps_all-data_v1.dat,HD217522_harps_all-data_v1.csv
HD21759,29:56.4,-19:37:13.036,G8/K1,5221.3,10.5,9.72,9.476,49.73,HD21759_harps_all-data_v1.dat,HD21759_harps_all-data_v1.csv
HD217786,03:08.2,-00:25:46.677,F8V,5937,8.36,7.779,7.636,55.57,HD217786_harps_all-data_v1.dat,HD217786_harps_all-data_v1.csv
HD218249,06:32.5,-00:11:46.120,K2V,5020.1,10.21,9.33,9.057,38.38,HD218249_harps_all-data_v1.dat,HD218249_harps_all-data_v1.csv
HD218379,08:36.6,-63:52:17.702,G3V,5937.7,7.86,7.22,7.062,58.57,HD218379_harps_all-data_v1.dat,HD218379_harps_all-data_v1.csv
HD218396,07:28.7,+21:08:03.302,F0+VkA5mA5,7376.7,6.21,5.953,5.898,41.29,HD218396_harps_all-data_v1.dat,HD218396_harps_all-data_v1.csv
HD218495,09:27.7,-63:39:12.112,ApEuSr,8120,9.62,9.38,9.348,247.02,HD218495_harps_all-data_v1.dat,HD218495_harps_all-data_v1.csv
HD218504,08:42.9,-18:45:07.007,G1/2wF3,6009,8.65,8.11,7.956,62.81,HD218504_harps_all-data_v1.dat,HD218504_harps_all-data_v1.csv
HD218544,09:16.6,-40:59:28.313,G3V,5785,9.41,8.73,8.573,65.42,HD218544_harps_all-data_v1.dat,HD218544_harps_all-data_v1.csv
HD218566,09:10.7,-02:15:38.685,K3V,N/A,9.641,9.208,8.274,28.85,HD218566_harps_all-data_v1.dat,HD218566_harps_all-data_v1.csv
HD218642,10:00.9,-39:59:57.990,K1/2(V),5414.2,10.44,9.69,9.457,83.26,HD218642_harps_all-data_v1.dat,HD218642_harps_all-data_v1.csv
HD218750,11:01.5,-50:58:06.393,K1V,N/A,10.16,9.26,9.007,49.55,HD218750_harps_all-data_v1.dat,HD218750_harps_all-data_v1.csv
HD21882,29:55.1,-42:38:03.320,A5V,7789.3,5.955,5.753,5.696,67.47,HD21882_harps_all-data_v1.dat,HD21882_harps_all-data_v1.csv
HD218860,11:52.1,-45:08:10.633,G8V,5550.3,9.52,8.782,8.604,48.01,HD218860_harps_all-data_v1.dat,HD218860_harps_all-data_v1.csv
HD218960,12:51.4,-51:41:09.573,G2V,5738.2,9.76,9.1,8.915,96.29,HD218960_harps_all-data_v1.dat,HD218960_harps_all-data_v1.csv
HD218994,13:16.0,-60:35:02.851,ApSr,5095.6,8.8,8.56,nan,nan,HD218994_harps_all-data_v1.dat,HD218994_harps_all-data_v1.csv
HD219011,13:22.3,-60:26:44.464,G5V,5660,9.61,8.91,8.731,88.21,HD219011_harps_all-data_v1.dat,HD219011_harps_all-data_v1.csv
HD219057,13:09.8,-30:26:59.297,G3V,5800.5,10.222,9.625,9.444,86.76,HD219057_harps_all-data_v1.dat,HD219057_harps_all-data_v1.csv
HD219077,14:06.6,-62:42:00.012,G8V+,N/A,6.91,6.12,5.905,29.21,HD219077_harps_all-data_v1.dat,HD219077_harps_all-data_v1.csv
HD219249,15:09.7,-56:43:45.176,G7V,5551,8.67,7.97,7.759,30.62,HD219249_harps_all-data_v1.dat,HD219249_harps_all-data_v1.csv
HD21938,30:50.3,-37:22:20.244,G0V,5865.5,9.119,8.947,7.547,42.53,HD21938_harps_all-data_v1.dat,HD21938_harps_all-data_v1.csv
HD219449,15:53.5,-09:05:15.841,K1-IIIFe-0.5,N/A,5.36,4.25,3.863,44.08,HD219449_harps_all-data_v1.dat,HD219449_harps_all-data_v1.csv
HD219556,17:08.1,-45:40:39.229,K0V,5476.5,9.8,9.04,8.893,60.51,HD219556_harps_all-data_v1.dat,HD219556_harps_all-data_v1.csv
HD219688,17:54.2,-09:10:57.067,B7/8V,8604.8,4.26,4.4,4.329,92.35,HD219688_harps_all-data_v1.dat,HD219688_harps_all-data_v1.csv
HD21977,32:25.9,-04:21:39.920,G2/3V,5889,8.81,9.095,8.018,54.15,HD21977_harps_all-data_v1.dat,HD21977_harps_all-data_v1.csv
HD219781,18:23.4,+12:06:48.471,G5,5636,nan,nan,8.21,52.24,HD219781_harps_all-data_v1.dat,HD219781_harps_all-data_v1.csv
HD219784,18:49.4,-32:31:55.288,K1III,4743.5,5.528,4.406,4.034,51.08,HD219784_harps_all-data_v1.dat,HD219784_harps_all-data_v1.csv
HD219828,18:46.7,+18:38:44.615,G0IV,5831.5,8.68,8.01,7.883,73.27,HD219828_harps_all-data_v1.dat,HD219828_harps_all-data_v1.csv
HD220096,21:15.5,-26:59:12.369,G5IV,5280.7,6.47,5.656,5.425,102.6,HD220096_harps_all-data_v1.dat,HD220096_harps_all-data_v1.csv
HD220308,22:55.0,-24:02:05.934,K1/2V,4751,11,9.99,9.706,55.63,HD220308_harps_all-data_v1.dat,HD220308_harps_all-data_v1.csv
HD220367,24:18.8,-72:09:54.702,G0V,6011.8,7.41,6.88,6.733,40.93,HD220367_harps_all-data_v1.dat,HD220367_harps_all-data_v1.csv
HD220456,24:03.5,-34:18:01.012,G2V,5900.3,9.14,8.51,8.387,57.63,HD220456_harps_all-data_v1.dat,HD220456_harps_all-data_v1.csv
HD22049,32:55.8,-09:27:29.731,K2V,N/A,4.61,3.73,3.369,3.2,HD22049_harps_all-data_v1.dat,HD22049_harps_all-data_v1.csv
HD220507,24:42.1,-52:42:06.761,G5V,5678.6,8.28,7.58,7.417,43.33,HD220507_harps_all-data_v1.dat,HD220507_harps_all-data_v1.csv
HD22054,32:13.2,-31:34:13.980,F0V,6669.6,8.61,8.22,8.127,224.34,HD22054_harps_all-data_v1.dat,HD22054_harps_all-data_v1.csv
HD220572,25:19.5,-56:50:56.339,K0III,4773.8,6.661,5.597,5.28,91.04,HD220572_harps_all-data_v1.dat,HD220572_harps_all-data_v1.csv
HD220657,25:22.8,+23:24:14.760,F8III,6060.5,5.01,4.4,4.202,53.11,HD220657_harps_all-data_v1.dat,HD220657_harps_all-data_v1.csv
HD220689,25:53.0,-20:36:57.701,G3V,5944,8.355,7.76,7.594,46.94,HD220689_harps_all-data_v1.dat,HD220689_harps_all-data_v1.csv
HD220729,26:36.6,-52:43:17.673,F4V,6659.3,5.901,5.522,5.403,31.81,HD220729_harps_all-data_v1.dat,HD220729_harps_all-data_v1.csv
HD221146,29:30.3,-01:02:09.225,G1V,5887,7.48,6.89,6.72,36.23,HD221146_harps_all-data_v1.dat,HD221146_harps_all-data_v1.csv
HD221287,31:20.3,-58:12:35.032,F7V,6191,8.31,7.81,7.681,56.01,HD221287_harps_all-data_v1.dat,HD221287_harps_all-data_v1.csv
HD221503,32:49.4,-16:50:44.322,K6V,N/A,9.903,8.607,8.082,14.56,HD221503_harps_all-data_v1.dat,HD221503_harps_all-data_v1.csv
HD221550,33:20.6,-47:18:03.3,G3/6+G3/6,5540.7,nan,nan,nan,nan,HD221550_harps_all-data_v1.dat,HD221550_harps_all-data_v1.csv
HD221575,33:23.8,-12:39:52.624,K2V,4965.3,9.71,8.78,8.538,34.01,HD221575_harps_all-data_v1.dat,HD221575_harps_all-data_v1.csv
HD221580,33:40.2,-53:39:29.295,G8/K1wF,5345.3,9.86,9.21,8.975,591.3,HD221580_harps_all-data_v1.dat,HD221580_harps_all-data_v1.csv
HD221627,33:34.8,+17:49:07.783,G1IV,5795.7,7.45,nan,6.647,48.68,HD221627_harps_all-data_v1.dat,HD221627_harps_all-data_v1.csv
HD221760,35:04.6,-42:36:54.540,ApSrCrEu,7369.5,4.79,4.71,4.545,77.87,HD221760_harps_all-data_v1.dat,HD221760_harps_all-data_v1.csv
HD22177,32:01.8,-52:28:25.894,G3/5V,5656,8.5,7.77,7.598,48.96,HD22177_harps_all-data_v1.dat,HD22177_harps_all-data_v1.csv
HD221950,36:23.3,+02:06:07.992,F6V,6378,6.12,5.68,5.54,32.8,HD221950_harps_all-data_v1.dat,HD221950_harps_all-data_v1.csv
HD221954,36:44.6,-42:21:44.290,G5/6V,5590.2,9.45,8.7,8.537,93.92,HD221954_harps_all-data_v1.dat,HD221954_harps_all-data_v1.csv
HD222095,37:51.0,-45:29:32.467,A1/2V,8300,4.82,4.74,4.666,62.63,HD222095_harps_all-data_v1.dat,HD222095_harps_all-data_v1.csv
HD222259,39:39.5,-69:11:44.705,G6V+K3Ve,5597.5,9.19,8.226,nan,46.2,HD222259_harps_all-data_v1.dat,HD222259_harps_all-data_v1.csv
HD22231,32:34.8,-50:22:43.122,K2III,4719,6.77,5.658,5.337,95.32,HD22231_harps_all-data_v1.dat,HD22231_harps_all-data_v1.csv
HD222422,40:37.9,-18:59:20.020,G5V,N/A,8.33,7.58,7.39,26.28,HD222422_harps_all-data_v1.dat,HD222422_harps_all-data_v1.csv
HD222480,41:08.4,-32:04:16.526,G1V,5761.2,7.75,7.12,6.946,44.3,HD222480_harps_all-data_v1.dat,HD222480_harps_all-data_v1.csv
HD22249,33:03.8,-46:43:20.291,G2V,5769.8,9.38,8.71,8.54,52.34,HD22249_harps_all-data_v1.dat,HD22249_harps_all-data_v1.csv
HD222582,41:51.5,-05:59:08.731,G5V,5793,8.34,7.69,7.519,42.21,HD222582_harps_all-data_v1.dat,HD222582_harps_all-data_v1.csv
HD222595,42:12.7,-53:25:23.947,G5V,5662,8.7,7.99,7.814,37.89,HD222595_harps_all-data_v1.dat,HD222595_harps_all-data_v1.csv
HD222603,42:02.8,+01:46:48.148,A7V,7668,4.72,4.51,4.404,31.51,HD222603_harps_all-data_v1.dat,HD222603_harps_all-data_v1.csv
HD222669,43:57.4,-82:30:30.604,G1V,5890.2,8.31,7.69,7.526,39.89,HD222669_harps_all-data_v1.dat,HD222669_harps_all-data_v1.csv
HD222910,44:54.2,-47:20:41.025,G8IV/V,5415.4,10,9.24,9.057,124.25,HD222910_harps_all-data_v1.dat,HD222910_harps_all-data_v1.csv
HD223121,46:55.8,-31:58:54.528,K1V,5071,10.33,9.32,9.11,46.1,HD223121_harps_all-data_v1.dat,HD223121_harps_all-data_v1.csv
HD223171,47:20.8,-48:16:32.113,G2V,N/A,7.54,6.88,6.719,41.4,HD223171_harps_all-data_v1.dat,HD223171_harps_all-data_v1.csv
HD223238,47:52.4,+04:10:31.716,G5V,N/A,8.33,nan,7.531,44.81,HD223238_harps_all-data_v1.dat,HD223238_harps_all-data_v1.csv
HD223272,48:15.2,-19:04:16.865,K2/3(V),5094.5,10.59,9.6,9.385,54.83,HD223272_harps_all-data_v1.dat,HD223272_harps_all-data_v1.csv
HD223282,48:21.3,-27:53:50.991,G8.5V,5554,9.36,8.62,8.445,36.91,HD223282_harps_all-data_v1.dat,HD223282_harps_all-data_v1.csv
HD223340,48:50.5,-28:07:15.664,K1V,5292.5,10.1,9.28,8.823,44.24,HD223340_harps_all-data_v1.dat,HD223340_harps_all-data_v1.csv
HD223352,48:55.5,-28:07:48.974,A0VankB9((_lB)),N/A,4.58,4.57,nan,nan,HD223352_harps_all-data_v1.dat,HD223352_harps_all-data_v1.csv
HD223681,51:49.5,-46:19:09.405,K2Vk,4999.2,10.5,9.65,9.44,46.76,HD223681_harps_all-data_v1.dat,HD223681_harps_all-data_v1.csv
HD223781,52:37.1,+10:56:50.230,A4Vn,7996.5,5.47,5.3,5.24,55.96,HD223781_harps_all-data_v1.dat,HD223781_harps_all-data_v1.csv
HD223854,53:06.9,+02:19:52.009,F5V,6092.5,8.53,8.07,7.901,93.3,HD223854_harps_all-data_v1.dat,HD223854_harps_all-data_v1.csv
HD223889,53:50.1,-75:37:57.119,M3,N/A,11.515,10.023,9.003,10.12,HD223889_harps_all-data_v1.dat,HD223889_harps_all-data_v1.csv
HD224047,54:50.1,-47:48:28.538,K0V,5094.4,10.27,9.44,9.252,49.92,HD224047_harps_all-data_v1.dat,HD224047_harps_all-data_v1.csv
HD224063,54:53.0,-00:17:09.532,G8IV(+G),5581,9.09,8.35,8.182,55.1,HD224063_harps_all-data_v1.dat,HD224063_harps_all-data_v1.csv
HD22409,35:57.7,-11:11:37.625,K0III,4971.7,6.492,5.58,5.293,99.44,HD22409_harps_all-data_v1.dat,HD22409_harps_all-data_v1.csv
HD224230,56:10.3,-72:00:07.845,K3(V),N/A,10.91,9.94,9.66,49.63,HD224230_harps_all-data_v1.dat,HD224230_harps_all-data_v1.csv
HD224347,57:10.2,-05:27:35.955,F7V,6184.5,9,8.48,8.365,84.18,HD224347_harps_all-data_v1.dat,HD224347_harps_all-data_v1.csv
HD224383,57:33.5,-09:38:51.070,G3V,N/A,8.51,7.88,7.727,51.37,HD224383_harps_all-data_v1.dat,HD224383_harps_all-data_v1.csv
HD224392,57:35.1,-64:17:53.622,A1V,9046,5.046,4.989,4.958,47.08,HD224392_harps_all-data_v1.dat,HD224392_harps_all-data_v1.csv
HD224393,57:35.4,-65:46:32.026,G5VFe-0.9,N/A,8.82,8.21,8.046,41.15,HD224393_harps_all-data_v1.dat,HD224393_harps_all-data_v1.csv
HD224433,57:50.1,-30:26:52.588,G8V,5546.7,9.59,8.83,8.664,53.53,HD224433_harps_all-data_v1.dat,HD224433_harps_all-data_v1.csv
HD224538,58:51.8,-61:35:12.380,F8/G0IV/V,6101.5,8.65,8.06,7.922,79.24,HD224538_harps_all-data_v1.dat,HD224538_harps_all-data_v1.csv
HD224619,59:28.4,-20:02:04.967,G8+V,N/A,8.2,7.46,7.277,26.23,HD224619_harps_all-data_v1.dat,HD224619_harps_all-data_v1.csv
HD224685,59:55.1,-64:22:20.322,G5V,5530.5,9.86,9.22,9.014,53.33,HD224685_harps_all-data_v1.dat,HD224685_harps_all-data_v1.csv
HD224693,59:53.8,-22:25:41.215,G2V,5971.3,8.87,8.22,8.085,93.75,HD224693_harps_all-data_v1.dat,HD224693_harps_all-data_v1.csv
HD224789,00:40.3,-69:40:33.476,K1V,5176.5,9.12,8.24,8.014,29.34,HD224789_harps_all-data_v1.dat,HD224789_harps_all-data_v1.csv
HD224817,00:58.3,-11:49:25.464,G2V,N/A,9.393,9.113,8.248,71.79,HD224817_harps_all-data_v1.dat,HD224817_harps_all-data_v1.csv
HD225197,04:19.8,-16:31:44.536,K0III,4784,6.872,5.769,5.471,101.98,HD225197_harps_all-data_v1.dat,HD225197_harps_all-data_v1.csv
HD225200,04:20.3,-29:16:07.763,A1V,9189,6.4,6.39,6.356,134.47,HD225200_harps_all-data_v1.dat,HD225200_harps_all-data_v1.csv
HD225297,05:02.6,-36:00:54.429,G0V,6128,8.28,7.74,7.596,50.96,HD225297_harps_all-data_v1.dat,HD225297_harps_all-data_v1.csv
HD22610,34:45.3,-62:27:24.601,K2V,5043.5,10.33,9.43,9.187,43.14,HD22610_harps_all-data_v1.dat,HD22610_harps_all-data_v1.csv
HD22663,37:05.7,-40:16:28.740,K1III,4687.3,5.62,4.58,4.128,70.63,HD22663_harps_all-data_v1.dat,HD22663_harps_all-data_v1.csv
HD22676,29:58.9,-78:21:06.661,G8III,5108.8,6.612,5.668,5.43,103.44,HD22676_harps_all-data_v1.dat,HD22676_harps_all-data_v1.csv
HD230017,54:53.6,+10:58:40.3,M0V+M3.5V,N/A,nan,nan,nan,nan,HD230017_harps_all-data_v1.dat,HD230017_harps_all-data_v1.csv
HD23079,39:43.1,-52:54:57.016,F9.5V,5964.2,7.68,7.11,6.962,33.49,HD23079_harps_all-data_v1.dat,HD23079_harps_all-data_v1.csv
HD23127,39:23.6,-60:04:40.238,G2V,5752,9.26,8.55,8.42,94.11,HD23127_harps_all-data_v1.dat,HD23127_harps_all-data_v1.csv
HD231630,30:43.7,+13:40:20.809,F2,5360,11.18,10.55,10.237,485.3,HD231630_harps_all-data_v1.dat,HD231630_harps_all-data_v1.csv
HD231701,32:04.2,+16:28:27.441,F8V,6080.5,9.486,8.97,8.83,109.22,HD231701_harps_all-data_v1.dat,HD231701_harps_all-data_v1.csv
HD23207,42:44.6,-18:42:49.676,ApSrEuCr,8120,7.79,7.54,7.542,206.22,HD23207_harps_all-data_v1.dat,HD23207_harps_all-data_v1.csv
HD23319,42:50.1,-37:18:48.659,K1.5IIIbCN0.5,5000,5.783,4.583,4.183,52.12,HD23319_harps_all-data_v1.dat,HD23319_harps_all-data_v1.csv
HD23356,43:55.3,-19:06:39.233,K2V,N/A,8.012,7.081,6.805,13.96,HD23356_harps_all-data_v1.dat,HD23356_harps_all-data_v1.csv
HD23456,43:04.8,-50:38:35.075,F9VFe-0.8CH-0.5,N/A,7.49,6.97,6.825,35.48,HD23456_harps_all-data_v1.dat,HD23456_harps_all-data_v1.csv
HD23472,41:50.4,-62:46:01.479,K3.5V,4826.3,10.8,9.72,9.385,39.08,HD23472_harps_all-data_v1.dat,HD23472_harps_all-data_v1.csv
HD23719,45:15.9,-47:21:34.107,K1III,4976.8,6.678,5.708,5.452,119.49,HD23719_harps_all-data_v1.dat,HD23719_harps_all-data_v1.csv
HD23901,48:37.9,-04:25:16.674,G8V,5349.5,8.41,7.64,7.423,55,HD23901_harps_all-data_v1.dat,HD23901_harps_all-data_v1.csv
HD23940,47:56.0,-30:10:04.380,G6III,4877.2,6.52,5.54,5.232,86.16,HD23940_harps_all-data_v1.dat,HD23940_harps_all-data_v1.csv
HD24015,50:00.5,+09:16:31.616,A5,6763.5,8.94,8.56,8.477,270.99,HD24015_harps_all-data_v1.dat,HD24015_harps_all-data_v1.csv
HD24062,44:46.8,-70:01:35.940,G0V,5915,8.04,7.41,7.272,55.12,HD24062_harps_all-data_v1.dat,HD24062_harps_all-data_v1.csv
HD240648,06:18.0,+17:48:59.099,K0,5590.3,9.552,8.818,8.62,53.75,HD240648_harps_all-data_v1.dat,HD240648_harps_all-data_v1.csv
HD24085,45:01.6,-70:01:26.760,G0V,6034,8.16,7.56,7.425,54.99,HD24085_harps_all-data_v1.dat,HD24085_harps_all-data_v1.csv
HD24112,48:46.8,-40:23:57.214,F8V,6124,7.81,7.24,7.103,51.81,HD24112_harps_all-data_v1.dat,HD24112_harps_all-data_v1.csv
HD24160,49:27.2,-36:12:00.904,G7III,5022,5.12,4.17,3.837,66.49,HD24160_harps_all-data_v1.dat,HD24160_harps_all-data_v1.csv
HD24194,51:56.9,+23:54:07.045,G0V,5845,10.61,10.07,9.922,133.56,HD24194_harps_all-data_v1.dat,HD24194_harps_all-data_v1.csv
HD242780,20:25.4,+11:36:35.348,K0,5464.3,9.74,8.97,8.84,56.18,HD242780_harps_all-data_v1.dat,HD242780_harps_all-data_v1.csv
HD24302,52:53.5,+24:42:56.631,F8,6375.6,9.9,9.48,9.335,141.01,HD24302_harps_all-data_v1.dat,HD24302_harps_all-data_v1.csv
HD24331,50:35.5,-42:33:55.913,K2.5V,N/A,9.54,8.62,8.344,27.14,HD24331_harps_all-data_v1.dat,HD24331_harps_all-data_v1.csv
HD244138,29:08.4,+11:52:12.653,G5/8Ve,4472.5,10.83,10.1,9.426,402.41,HD244138_harps_all-data_v1.dat,HD244138_harps_all-data_v1.csv
HD24465,54:03.4,+15:08:30.188,F8,6205.4,9.48,8.97,8.858,119.76,HD24465_harps_all-data_v1.dat,HD24465_harps_all-data_v1.csv
HD24558,50:31.7,-64:04:06.602,G8V,N/A,10.28,9.57,9.37,56.49,HD24558_harps_all-data_v1.dat,HD24558_harps_all-data_v1.csv
HD24633,54:58.1,-01:15:47.693,K0V,5143.7,9.66,8.87,8.663,46.2,HD24633_harps_all-data_v1.dat,HD24633_harps_all-data_v1.csv
HD24706,53:33.3,-46:53:37.312,K2III,4501.7,7.164,5.921,5.546,105.32,HD24706_harps_all-data_v1.dat,HD24706_harps_all-data_v1.csv
HD24712,55:16.1,-12:05:56.729,A9VpSrEuCr,7253,6.32,6,5.926,48.49,HD24712_harps_all-data_v1.dat,HD24712_harps_all-data_v1.csv
HD24745,54:23.2,-40:21:25.222,G8/K1III,5883,6.289,5.705,5.483,162.09,HD24745_harps_all-data_v1.dat,HD24745_harps_all-data_v1.csv
HD24916,57:28.7,-01:09:34.071,K4V,4640.5,9.166,8.014,7.664,15.3,HD24916_harps_all-data_v1.dat,HD24916_harps_all-data_v1.csv
HD25061,56:25.3,-52:55:51.125,K1V,N/A,10.11,9.26,9.053,52.07,HD25061_harps_all-data_v1.dat,HD25061_harps_all-data_v1.csv
HD25102,59:40.5,+10:19:49.266,N/A,6539.4,6.762,6.34,6.238,41.83,HD25102_harps_all-data_v1.dat,HD25102_harps_all-data_v1.csv
HD25105,57:55.5,-36:15:35.688,K0.5V,5363,9.3,8.5,8.308,35.94,HD25105_harps_all-data_v1.dat,HD25105_harps_all-data_v1.csv
HD25120,55:18.3,-65:17:04.988,K1Vk:,5175,9.64,8.78,8.542,34,HD25120_harps_all-data_v1.dat,HD25120_harps_all-data_v1.csv
HD25171,55:49.4,-65:11:12.029,F8V,6127,8.293,7.78,7.638,55.7,HD25171_harps_all-data_v1.dat,HD25171_harps_all-data_v1.csv
HD2529,28:43.1,-50:31:58.288,K0III,4773.7,7.36,6.265,5.953,117.77,HD2529_harps_all-data_v1.dat,HD2529_harps_all-data_v1.csv
HD25490,03:09.4,+05:59:21.479,A0.5Va,7836,3.924,3.883,3.811,35.12,HD25490_harps_all-data_v1.dat,HD25490_harps_all-data_v1.csv
